SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type,Column
51211,University_of_Greenwich,Band 5A,Higher Education,University of Greenwich,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51212,University_of_Hertfordshire,Band 4,Higher Education,University of Hertfordshire,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51302,University_of_Hertfordshire,Band 4,Higher Education,University of Hertfordshire,Active,2015-04-23,Maney Publishing Journals SMP 2015-17 offer,2015-04-23,2015-12-31,Maney Publishing Jisc Collections SMP 2015-17,2015-01-01,2015-12-31,Direct,England,Active,NESLi2 Agreement,
51213,University_of_Hull,Band 5B,Higher Education,University of Hull,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51305,University_of_Hull,Band 5B,Higher Education,University of Hull,Active,2015-04-23,Science Classic,2015-04-23,2114-06-30,Science Classic,2014-07-01,2114-06-30,Sublicence,England,Active,Free Agreement,
51138,University_of_Kent,Band 5B,Higher Education,University of Kent,Active,2015-04-14,Portico eJournals (2014-2017),2015-04-14,2017-06-30,Portico Jisc Collections Portico June 2017,2014-07-01,2017-06-30,Direct,England,Request sent,Yearly Agreement,
51214,University_of_Kent,Band 5B,Higher Education,University of Kent,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51216,University_of_Leicester,Band 4,Higher Education,University of Leicester,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51217,University_of_Lincoln,Band 7,Higher Education,University of Lincoln,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51218,University_of_Liverpool,Band 3,Higher Education,University of Liverpool,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51219,University_of_London,Band 5B,Higher Education,University of London,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51307,University_of_London,Band 5B,Higher Education,University of London,Active,2015-04-23,The Literary Encyclopedia (2012 to 2015),2015-04-23,2015-08-31,JISCCollectionsTheLiteraryDictionaryCompanyLtdLiteraryEncyclopediaDatabaseLicenceSubLicence2012to2015Final,2012-09-01,2015-08-31,Sublicence,England,Active,Yearly Agreement,
51220,University_of_Manchester,Band 1,Higher Education,University of Manchester,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51221,University_of_Nottingham,Band 2,Higher Education,University of Nottingham,Active,2015-04-16,Journal Negotiation Charges 2015,2015-01-01,2015-12-31,Journal transaction fees 2015 info,2015-01-01,2015-12-31,Sublicence,England,Request sent,Consortia Agreement,
51308,University_of_Nottingham,Band 2,Higher Education,University of Nottingham,Active,2015-04-23,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-04-23,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement,
51148,University_of_Oxford,Band 1,Higher Education,University of Oxford,Active,2015-04-16,Science Classic,2015-04-16,2114-06-30,Science Classic,2014-07-01,2114-06-30,Sublicence,England,Active,Free Agreement,
