SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry
47582,Cardiff_University,Band 3,Higher Education,Cardiff University,Active,7/17/14 11:32,"The Burney Collection, 19th Century British Library Newspapers and 19th Century UK Periodicals Online Series 1 (2014 - 2017)",2014-08-01,2017-07-31
47482,"City_University,_London",Band 5,Higher Education,"City University, London",Active,7/11/14 13:36,Cambridge Books Online Evidence-based Acquisition (Monographs),2014-07-11,2014-07-31
47483,"City_University,_London",Band 5,Higher Education,"City University, London",Active,7/11/14 13:46,Springer e-Books Collections 2014 - 2015,2014-07-11,2015-12-31
47484,"City_University,_London",Band 5,Higher Education,"City University, London",Active,7/11/14 14:01,Elsevier ebooks:  Freedom Collection 2014 plus 2010-2013,2014-07-11,2014-12-31
47510,"City_University,_London",Band 5,Higher Education,"City University, London",Active,7/15/14 11:49,Social Theory Perpetual Purchase (2014 to 2016 Pricing),2014-09-30,2115-09-29
47591,Coventry_University,Band 5,Higher Education,Coventry University,Active,7/17/14 15:18,a-n The Artists Information Company 2014-17,2014-08-01,2017-07-31
47536,Cranfield_University,Band 5,Higher Education,Cranfield University,Active,7/16/14 9:38,Knovel Interactive Library 2012 - 2015,2014-08-01,2015-07-31
47306,De_Montfort_University,Band 5,Higher Education,De Montfort University,Active,7/3/14 8:49,The Times Digital Archive (1785-1985) 2014-2017,2014-08-01,2017-07-31
47312,De_Montfort_University,Band 5,Higher Education,De Montfort University,Active,7/3/14 11:48,LOCKSS (Lots Of Copies Keep Stuff Safe) UK Alliance Membership 2014-15,2014-08-01,2015-07-31
47657,De_Montfort_University,Band 5,Higher Education,De Montfort University,Active,7/21/14 14:48,a-n The Artists Information Company 2014-17,2014-08-01,2017-07-31
47659,De_Montfort_University,Band 5,Higher Education,De Montfort University,Active,7/21/14 15:07,Jisc eCollections: Historical Texts and Journal Archives for HE 2014-2017,2014-08-01,2017-07-31
47560,Durham_University,Band 4,Higher Education,Durham University,Active,7/16/14 14:14,Environment Digimap (2014-2015),2014-08-01,2015-07-31
47634,Durham_University,Band 4,Higher Education,Durham University,Active,7/18/14 16:40,EBSCO Education Databases,2014-08-01,2017-07-31
47642,Durham_University,Band 4,Higher Education,Durham University,Active,7/21/14 10:28,Carl Giles Digital Archive,2014-07-21,2100-09-01
47721,Durham_University,Band 4,Higher Education,Durham University,Active,7/24/14 9:49,Science Classic,2014-07-24,2114-06-30
47260,Edge_Hill_University,Band 6,Higher Education,Edge Hill University,Active,7/1/14 9:50,The Shakespeare Collection 2014-2017,2014-08-01,2017-07-31
47263,Edge_Hill_University,Band 6,Higher Education,Edge Hill University,Active,7/1/14 11:11,"The Burney Collection, 19th Century British Library Newspapers and 19th Century UK Periodicals Online Series 1 (2014 - 2017)",2014-08-01,2017-07-31
47689,Edge_Hill_University,Band 6,Higher Education,Edge Hill University,Active,7/22/14 14:45,EBSCO Education Databases,2014-08-01,2017-07-31
47686,Edinburgh_Napier_University,Band 6,Higher Education,Edinburgh Napier University,Active,7/22/14 14:17,a-n The Artists Information Company 2014-17,2014-08-01,2017-07-31
47653,University_College_Falmouth,Band 9,Higher Education,Falmouth University,Active,7/21/14 13:39,Cambridge Journals Digital Archive,2014-07-21,2015-06-30
47544,Glasgow_Caledonian_University,Band 5,Higher Education,Glasgow Caledonian University,Active,7/16/14 11:55,"The Burney Collection, 19th Century British Library Newspapers and 19th Century UK Periodicals Online Series 1 (2014 - 2017)",2014-08-01,2017-07-31
47819,Glasgow_Caledonian_University,Band 5,Higher Education,Glasgow Caledonian University,Active,7/30/14 14:50,Early European Books Collections 1-4 and The Vogue Archive,2014-07-30,2014-10-31
47448,Glyndwr_University,Band 8,Higher Education,Glynd��r University,Active,7/10/14 9:07,The Times Digital Archive (1785-2008) WHEEL 2014-2017,2014-08-01,2017-07-31
47520,"Goldsmiths_College,_University_of_London",Band 7,Higher Education,"Goldsmiths College, University of London",Active,7/15/14 14:59,a-n The Artists Information Company 2014-17,2014-08-01,2017-07-31
47665,"Goldsmiths_College,_University_of_London",Band 7,Higher Education,"Goldsmiths College, University of London",Active,7/21/14 15:52,EBSCO Education Databases,2014-08-01,2017-07-31
47649,Harper_Adams_University_College,Band 9,Higher Education,Harper Adams University College,Active,7/21/14 11:37,Environment Digimap (2014-2015),2014-08-01,2015-07-31
47556,Heriot-Watt_University,Band 5,Higher Education,Heriot-Watt University,Active,7/16/14 13:34,British Standards Online 2014-2017,2014-07-16,2017-05-31
