SubscriptionId,InstitutionName,NewJiscBand,Sector,JC Institution Name,AccountStatus,OrderDate,ResourceName,SubscriptionStart,SubscriptionExpiry,AgreementName,AgreementStartDate,AgreementEndDate,LicenceType,Country,SubscriptionStatus,Agreement Type
50962,Cranfield_University,Band 5B,Higher Education,Cranfield University,Active,2015-03-10,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-10,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
50927,Coventry_University,Band 5A,Higher Education,Coventry University,Active,2015-03-04,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-04,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
50959,Coventry_University,Band 5A,Higher Education,Coventry University,Active,2015-03-10,SAGE Premier Jisc Collections 2015-16 Journals Agreement,2015-03-10,2016-12-31,Jisc Collections SAGE Premier agreement 2015-16,2015-01-01,2016-12-31,Sublicence,England,Active,NESLi2 Agreement
51076,"City_University,_London",Band 5A,Higher Education,"City University, London",Active,2015-03-30,Oxford Bibliographies Online For Higher Education - New Orders 2014-2017,2015-03-30,2017-08-31,Jisc Collections OUP Agreement HE August 2017,2014-09-01,2017-08-31,Sublicence,England,Request sent,Yearly Agreement
51058,Brunel_University,Band 5B,Higher Education,Brunel University,Active,2015-03-25,IMechE SMP 2015-2016 offer,2015-03-25,2016-12-31,Jisc Collections SAGE IMechE SMP 2015-2016,2015-01-01,2016-12-31,Sublicence,England,Active,NESLi2 Agreement
50924,Bournemouth_University,Band 5B,Higher Education,Bournemouth University,Active,2015-03-04,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-04,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,England,Request sent,Free Agreement
50945,Bournemouth_University,Band 5B,Higher Education,Bournemouth University,Active,2015-03-09,"McGraw-Hill Access Platforms for Science, Engineering, Medicine & Business",2015-03-09,2015-05-31,Jisc Collections McGrawHill ,2013-08-12,2015-05-31,Direct,England,Active,NESLi2 Agreement
51015,Bournemouth_University,Band 5B,Higher Education,Bournemouth University,Active,2015-03-17,RCNi Journals Archive 2015 offer,2015-03-17,2015-12-31,RCN Journals Archive 2015,2015-01-01,2015-12-31,Direct,England,Request sent,One-off Agreement
50960,Bangor_University,Band 5B,Higher Education,Bangor University,Active,2015-03-10,Cambridge Companions Online (CCO) - Literature and Classics 2015 - 2018 agreement,2015-03-10,2018-01-08,Jisc Collections CUP Cambridge Companions Online Jan 2018,2015-01-09,2018-01-08,Sublicence,Wales,Active,Yearly Agreement
51029,Aberystwyth_University,Band 6,Higher Education,Aberystwyth University,Active,2015-03-19,IOP Journal Archive 1874-1998 (access period 2015 to 2019),2015-03-19,2019-12-31,Jisc Collections Institute of Physics IOP Archive Dec 2019,2015-01-01,2019-12-31,Direct,Wales,Request sent,Free Agreement
