identifier,oldname,newname,enddate
820,SBE:Master:2014,SBE:Master,2100-01-01
928,SBS Place de la Constitution:Master:2014,SBS Place de la Constitution:Master,2100-01-01
895,Schofield Publishing:Master:2014,Schofield Publishing:Master,2100-01-01
814,Scholastic:Master:2014,Scholastic:Master,2100-01-01
975,School Bookshop Association:Master:2014,School Bookshop Association:Master,2100-01-01
974,Science & Medicine:Master:2014,Science & Medicine:Master,2100-01-01
821,Scientific American:Master:2014,Scientific American:Master,2100-01-01
973,Scope:Master:2014,Scope:Master,2100-01-01
822,Screen Digest:Master:2014,Screen Digest:Master,2100-01-01
913,Sears Foundation for Marine Research:Master:2014,Sears Foundation for Marine Research:Master,2100-01-01
823,Seatrade Communications:Master:2014,Seatrade Communications:Master,2100-01-01
824,Seibundo Shinkosha Publishing:Master:2014,Seibundo Shinkosha Publishing:Master,2100-01-01
825,SF-TH Inc:Master:2014,SF-TH Inc:Master,2100-01-01
972,Sheffield Hallam University:Master:2014,Sheffield Hallam University:Master,2100-01-01
826,Silverdart:Master:2014,Silverdart:Master,2100-01-01
971,Slack Inc:Master:2014,Slack Inc:Master,2100-01-01
828,SNAME:Master:2014,SNAME:Master,2100-01-01
939,Societe de Publications et d'Editions Reunies:Master:2014,Societe de Publications et d'Editions Reunies:Master,2100-01-01
612,Society for General Microbiology:Master:2014,Society for General Microbiology:Master,2100-01-01
403,Society for Industrial and Applied Mathematics:Master:2014,Society for Industrial and Applied Mathematics:Master,2100-01-01
613,Society for Neuroscience:Master:2014,Society for Neuroscience:Master,2100-01-01
951,Society for Reproduction and Fertility:Master:2014,Society for Reproduction and Fertility:Master,2100-01-01
614,Society for Sedimentary Geology:Master:2014,Society for Sedimentary Geology:Master,2100-01-01
952,Society of American Foresters:Master:2014,Society of American Foresters:Master,2100-01-01
881,Society of Biblical Literature:Master:2014,Society of Biblical Literature:Master,2100-01-01
880,Society of Exploration Geophysicists:Master:2014,Society of Exploration Geophysicists:Master,2100-01-01
829,Society of Illustrators:Master:2014,Society of Illustrators:Master,2100-01-01
830,Society of Manufacturing Engineers:Master:2014,Society of Manufacturing Engineers:Master,2100-01-01
879,Society of Wood Science and Technology:Master:2014,Society of Wood Science and Technology:Master,2100-01-01
831,SOS Publications:Master:2014,SOS Publications:Master,2100-01-01
832,Source Magazine:Master:2014,Source Magazine:Master,2100-01-01
833,Spectator (1828) Ltd:Master:2014,Spectator (1828) Ltd:Master,2100-01-01
834,Sports Coach UK:Master:2014,Sports Coach UK:Master,2100-01-01
1003,Springer Publishing Company:Master:2014,Springer Publishing Company:Master,2100-01-01
1012,Springer:Master:2014,Springer:Master,2100-01-01
835,Stage Newspaper:Master:2014,Stage Newspaper:Master,2100-01-01
878,Stansted News:Master:2014,Stansted News:Master,2100-01-01
929,Sublime Magazine:Master:2014,Sublime Magazine:Master,2100-01-01
836,Surface:Master:2014,Surface:Master,2100-01-01
837,Sweet and Maxwell:Master:2014,Sweet and Maxwell:Master,2100-01-01
877,Symposium Journals:Master:2014,Symposium Journals:Master,2100-01-01
661,Synthesis Media Ltd:Master:2014,Synthesis Media Ltd:Master,2100-01-01
838,Systems Design (4-F Jonsim):Master:2014,Systems Design (4-F Jonsim):Master,2100-01-01
839,Tank:Master:2014,Tank:Master,2100-01-01
616,TASH Publishing:Master:2014,TASH Publishing:Master,2100-01-01
